xx,qa06id,qa06name,qa06wher,qa06dsc,ty26colo,ty26fakt
2072361,SOR-0351-2017,Flap overspeed,Europe and North Atlantic - Slovenia / LJLJ / JP307,"During approach at LJLJ we had flap overspeed (flap 30), around 5 kts for a few seconds due to gusty conditions.

CM2 pilot flying.",0,1
2530189,SOR-0366-2019,S5AAO technical status and improper communication,Europe and North Atlantic - Slovenia / Loww / OS655,"OS 655
Vie-Kiv @ 10:30z

(Just for info, handling agent at VIE: Klaus Koderna, his attitude was ok and profesional)

During preflight check caution msg A/SKID INBD was found and additionaly IB GND SPLR FAULT sts msg. FLAP FAULT sts msg also on ED#2 but already transfered to HIL.
According to MEL 27-65-01  Maintenance action is required, but not present at VIE. Additionaly MEL 32-44-01 simple (M) was completed by me and F/O. With the consideration to MEL remarks/exceptions T/O is not conducted from wet runway and both pairs of GND SPLR are to be operative. Since it was raining therefore departure rwy was wet and also IB GND SPLR FAULT sts msg was present I as the commander can not go bellow MEL. I called LMLD and performed the A/C restart on maintenance request, but that didn’t cleared the status. He explained that until the fault system is not fixed by maintenance or the rwy gets dry we are AOG. 
Handling agent was informed about situation and explained to him that we can not perform the flight with this A/C under this conditions and that we are now waiting for futher instructions from our ops.
The agent called their ops and he explained the situation in german language to them.

After few minutes adr ops called me (12:27z) and ‘explained’ to me that Austrian ops called our ops with question how can I as the commander cancel the flight and complained (quote):’’that we have most probably some crazy pilot on the left seat’’.
I talked immediately with handling agent and explained to him what happened and he called his ops once again with additional explanation.

That was quite disturbing and very frustrating for me. I called fleet chief to explain him the situation. 
We called LMLD one more time at 12:56z and we found out from them that extra flight is organised from LJU with maintenance on board to fix the malfunction.

We still waited for Adr ops to get any news, so we decided to call them again at 13:21z. There was no response.

We finally received the call from them at 13:50 with information that S5-AAU is dispatched to VIE and that we will perform the flight OS549 and OS550 with the new A/C.

Is there any chance to receive transcription or actual copy of voice communication to hear the exact words of AUA ops?",0,1
2573903,SOR-0466-2019,Groundhandling person at LSZA,Europe and North Atlantic - Switzerland / LSZA,Already several time I have noticed that after Engine start and chocks-off sign to the ground crew very often the person does not wait in order to give me the clear sign (Dumps up) beside the A/C once I am ready for taxi. However they disappear and I have to ask for them to come back in order to start taxi.,0,2
2520492,SR-0040-2019,missing fuel cap,"FRA airport, On 20.05.2019, aircraft YR-FZA operating JP115 FRA-PRN","On 20.05.2019, aircraft YR-FZA operating JP115 FRA-PRN, after landing at PRN was noticed the fuel cap missing. Later the cap was found broken by FRA GH personnel (Fraport) and handover to the crew on second rotation.
Actions:
- Aircraft wheels/ tires inspection was performed, and no damages were noticed (WO 3810969).
- Fraport was notified and asked to inform all air carriers that used same parking stand (V176) to proceed with corresponding fleet inspections. Confirmation was received no other carriers were using the stand until the cap was found.
",0,1
2122142,SOR-0053-2018,Use of reversers above idel at low speed,Europe and North Atlantic - Russian Federation / SVO airport / JP914,"Landing RWY 06L
WX: SN, 110/10, VIS 1,5 KM, BA medium to poor, RWY COND Dry Snoww, 2 mm.
After landing on RWY 06L i planned to vacate RWY at Exit 13 (for LDG full reverse and anti-ice were used). Unable to slow down to safe speed for vacating we continue to Exit 14. Approaching Exit I used full brake application but almost no deceleration was noticed. To reduce the speed i used again reverse thrust above idle momentarry to assure safe exit speed.",0,10
1994217,SOR-0085-2017,Povišana hitrost spuščanja v priletu,Europe and North Atlantic - Montenegro / TGD final  / ADR700,"Med pristankom v termično aktivnem delu dneva smo prileteli v nenaden vzdolnik, ki se je manifestiral na manjšem padcu hitrosti in srednje izraženem povečanju vertikalne hitrosti. Kompenzacija je bila sicer dovolj učinkovita, da smo s priletom lahko nadaljevali in brez posebnosti pristali.  ",0,1
2528715,SOR-0362-2019,LEFT ENGINE high oil temperature,Europe and North Atlantic - Austria / around KFT VOR / JP510,"During climb at around FL200 we noticed that left engine oil temperature was rising quite quickly. When indication went into a red range I reduced left thrust to idle and ordered QRH for high oil temperature. I declared PAN PAN to Vienna Radar and turned around to DOL and we started descent. QRH was completed and left engine was left at idle accordingly. ( the highest peak was 176 C ). Oil pressure and oil quantity was within normal range. During descent oil temperature was slowly dropping and reached normal range  ( 95 C ) at around DOL. We decided to land with normal thrust setting on both engines and we carefully monitored oil temperature. We also checked QRH for Single Engine Approach and Landing and we were briefed accordingly,
After landing we declared Unfit to fly.",1,20
2356251,SR-0010-2019,FRA border crossing,Airport EDDF crew change,"FRA Schengen crossing

I was active crew JP115 and after landing at FRA I was operating crew on flight JP115. It was planned to change the aircraft and also crew (cm1 only). According to information received with email ‘’FRA Schengen crossing’’ I was supposed to go trough passport control and security check for leaving Schengen. After discussion with handling agent I was informed that we have a big problem, since there was no crew bus. After she took some phones, she said that the problem is solved and then one of her collegues that was parked with car at our stand, drove me to the other aircraft without check. Upon arrival there was also the other crew member with another agent also with the same problem. At that time it was explained to us, that our FRA contract supports only transportation of crew with crew bus going to hotel, but not in our case. The handling agent was also not familiar with where should he transport us to do the required checks.",0,1
1656816,SG-0004-2014,Crew meals,NR,"Some crew meals are totally inappropriate especially if they have to be
eaten during flight. Liquid meal heated up to 100°C are potential hazard
for burns. Beside the liquid crew meal we got small coffee spoon which is
supposed to be used for the meal. Today we got 2 ""Pasulj"" out of 4 crew
meals which is not suitable as a crew meal because of its 
in-digestibility. Second threat are paper cups for warm crew drinks. They
are so thin, hot and deformational and likely to be spilled. When it is
cheap is not always good enough and safe to use it on the airplane. 

Aleš Demšar",0,4
1993932,SOR-0079-2017,Ati ice duct warrning msg,Europe and North Atlantic - Slovenia / Ljlj / JP311,"Durring approach to lju at app. 6000ft ANTI ICE DUCT warrning msg came on. Anti ice was switched off and msg remained on for 2min. Qrh check list complited and no more icing was present. Tunderstorms in vicinity, at the moment of landing over BASTA point, visual approach to avoid tunderstorm, normal landing. ATL entry was made.",0,1
2022529,SOR-0167-2017,Bank limit exceeded,Europe and North Atlantic - Kosovo / BKPR / JP838,Arrival VORDME P35 to PRN. At about 8000 we already saw the rwy and continued visually. Switching from instrument to visual phase the bank limit was unintentionally exceeded to about 37° and immediately corrected.  ,0,1
1994186,SOR-0084-2017,OB FLT SPLRS + OB SPOILERONS CAUTION MSG,Europe and North Atlantic - Albania / lati / JP704,"OB FLT SPLRS + OB SPOILERONS CAUTION MSG appeared simultaneously in arrival passing FL110 in descent, when we extended speed brake. Almost at the same time the FMSes went into independent mode and would not resynchronize until ground. QRH action completed and normal landing performed, all spoilers extended upon landing, except the faulty one - Nr4 on the right side (was amber coloured on FLT control page). After fault isolation guide followed actions completed, the caution disappeared. Normal flight on the way back. ATL entry done. ",0,1
2204551,SOR-0243-2018,G/S GPWS aural warning,Europe and North Atlantic - Germany - Saarland (SL) / Saarbrucken / LGL9412,"At very short final when flying R/D ILs (training flight) to RWY 27 SCN a deviation occurred while tracking G/S and ""glideslope"" GPWS caution came on. Since visual and at late stage of app. normal landing without problems was executed. ",0,2
1994354,SOR-0086-2017,STEERING INOP,Europe and North Atlantic - Slovenia / Apron Brnik / 914,"After push back was completed we started with after start check list. When steering switch was positioned to arm the STEERING INOP caution message was triggered. After consulting with the LMLD via phone and unsuccessful cb reset we returned to parking position, disembarked passengers and maintenance action was performed. The malfunction was solved and we continued our voyage to Moscow.",0,1
1774494,ADR MOR-0001-2016,CLEAR SIGNAL with chocks under RH main gearl ,FRA APRON / V 171 A / JP125,"After eng.start, we got confirmation by interphone by handling agent, that aircraft is clear and stand-by for visual sign. We requested taxi and after clear sign, tried to taxi out. Aircraft didn't move, although we used higher trust than normal. I called back H.A. and asked him if there are chocks in front of gears. He replied that everything is clear and no chocks are present. I asked him again, what about maind LDG gear. Then he realised that in front (and behind) of the right hand main LDG gear, chocks are still present. The chocks were removed and we were able to taxi out. Ground ATC was asking us if we have any problem and we informed them with the case. For info: chocks were yellow, size cca. 70x25x15 cm, so well visible.",0,1
2035342,SOR-0213-2017,Nutrition prn,Europe and North Atlantic - Kosovo / Flights from prn,"Na letih iz PRN ni zagotovljena prehrana v skladu z OM A 7.8.1 in FTL ORO.FTL.240. Krši se kolektivna pogodba, kjer je v 104. Členu definirano da je maksimalna cena za topel obrok + sendvič 6,12 € (2. Člen tarifnega dela). Za tak denar si lahko zagotoviš samo brezmesni obrok, kar ni primerno za celodnevno letenje.
Na letih iz prn so tudi lokalne posadke, za katere je cena obroka še bolj neprimerna. 
Prav tako ni vredu, da moraš hrano naročati toliko vnaprej. 
Na letih iz PRN prav tako niti ni zagotovljen kovinski pribor za posadko, da bi lahko vsaj hrano, ki jo prinese s seboj normalno zaužili. Že prejšni dan sploh ni bilo priborov, ki so jih nato dostavili v Tia, in po izrecnem naročilu naj zagotovijo naslednji dan, so bili na letalu pribori za enkratno uporabo - z njimi niti ne mores rezati mesa in tudi teh ni bilo dovolj za celotno posadko. Pogosto manjka tudi alu folija - za gretje hrane.
Prehrana ni primerno urejena, kar ne zagotavlja, da na letu ni lačnih članov posadk!
",0,1
2528260,SOR-0359-2019,PAN PAN - return to LJU due L ENG high oil temperature & unfit afterwards,Europe and North Atlantic - Austria / Over LOWK / JP510,"In the climb phase of the flight passing around FL 200 in the vicinity of Klagenfurt we noticed that the left engine oil temperature is slowly but steadily rising towards the limit of 156 C. CPT was pilot flying and as the indication went into the red range he reduced the thrust setting of the left engine to idle. We declared PAN PAN to Vienna Radar and requested to return to LJU; we proceeded with a descent towards DOL VOR. We checked QRH for the issue - as the required action (idle/reduced thrust) was already executed and L ENG oil pressure and oil quantity indications were in normal range hence, according to QRH, we left the L ENG thrust setting at idle (no shutdown). Initially the temperature was still rising reaching its peak at 176 C before it began slowly and steadily to fall back.

During descent the indication was slowly dropping back to the normal range (green range achieved in couple of minutes) and as L ENG oil pressure and oil quantity indications were all the time in normal range we decided, in compliance with QRH, not to shut down the L ENG and to execute a normal approach and landing with flaps 45 and using both engines in normal thrust setting during final approach (= normal configuration).  

By the time we were established on final track (LJU ILS30) the indication had a normal/usual value - around 95 C. Still, as a precaution, we decided to use idle thrust on L ENG until about the last 7 miles of the approach, then we went to normal thrust setting on both engines. During the last phase the L ENG oil temperature stayed normal/stable at around 95 C (even at the end during using normal final approach thrust setting). 

CPT was pilot flying, me (FO) was performing pilot monitoring duties.

After the flight we both reported to be unfit to fly again on this day due to accumulated fatigue from the the past (two) months which was additionally exacerbated by this event.
",0,1
2580405,SR-0069-2019,S5-AAY aileron cabels damage,Adria Tehnika,"During troubleshooting process related to difficulties with aileron system operation by Autopilot system it was found some stiffness in LH and RH aileron quadrants . during evaluation and check of the aileron quadrant condition it has been found how aileron cables running thru aileron quadrants were damaged. Both cables were replaced and quadrants were replaced. Cables tension was adjusted In accordance with Aircraft Maintenance Manual and rechecked. After replacement of the quadrants and cables issue has been solved and no more reports received related to the problems with aileron system. 
In attachment is a chronological overview of defects related to AutoPilot system.
Following actions performed during last maintenance event where above mentioned parts were replaced, chronological overview and fact how for other airplanes of the same type CRJ700/900 in ADR fleet were not reported or experienced same issues we can conclude  this particular issue as single event specifically related to aircraft CRJ 700, S5-AAY, MSN 10080.  Because of it ADRIA CAMO decided how additional preventive measures are not necessary for future operation. ",0,1
1994950,SOR-0090-2017,TCAS FAIL after engine start on ground,Europe and North Atlantic - Slovenia / LJLJ / JP112,"TCAS FAIL amber message showed up on PFD after engine start. MEL lookup informed us, that we are able to leave with TCAS failed. I decided to return to gate for troubleshooting, because we were headed to the busy EDDF airport in a busy airspace. Adria Tehnika technician tried a CB reset with no success. TCAS FAIL was put into HIL and we left LJU with 20 min delay. ",0,1
2018799,SOR-0156-2017,CHD PAX INJURY,Europe and North Atlantic - Denmark / EKCH / JP511,THE AIRCRAFT WAS PARKED ON A POSITION 26A AT EKCH. WE WERE RUNNING LATE DUE PROBLEM WITH THE FUELLING TRUCK. I WAS SEATTING IN THE COCKPIT AND WAITING FOR THE FO TO RETOURN FROM THE OUTSIDE. I WAS APPROACHED FROM THE HANDLING AGENT WHO WAS EAGER LIKE MYSELF TO START BOARDING. MY ORDER WAS THAT WE CAN BOARD TWO DEPU SINCE THE FUELLING WAS COMPLITED BUT TO WAIT FOR THE BORDING UNTIL FO RETURNS TO HIS STATION. THEN I STARTED THE APU AND ENGAGED HYD PUMP3A AND SET THE PRAKING BRAKE TO ON. AS SOON AS FO RETURNED TO COCKPIT THE BORDING STARTED AS COMANDED AND I GAVE THE HEAD UP TO HTE CABIN CREW. I WAS PREPARING THE DEPARTURE CHART WHEN I NOTICED  COMOTION FROM THE OUTSIDE OF THE ACFT. I HAVE OBSERVED HANDLING AGENT`S SURPRISE LOOK AND SEEN A FATHER HOLDINK A CRYING CHD IN  HIS HANDS AT ONCE FO RUSHED OUT OF THE COCKPIT TO GIVE SOME HELP BUT WAS BLOKED FROM OTHER PAX AND CCM1 AND RETOURNED TO HIS SEAT. AFTER GALLEY HAS CLEARED I GET OUT  TO THE HA AND RECEIVED AN INFORMATION ABOUT A CHILD THAT FELL FROM THE UPPER STAIRS FROM THE AIRCRAFT TROUGH THE HAND REAILS ON HER BACK AND INJURED HER HEAD AND SEAMED TO BE UNCONSIOUS FOR A WHILE. I HAVE ASKED IF THE RESCUE SERVICES WITH THE DOCTOR WAS ADVICED AND RECEIVED A POSITIVE ANSWER. A FAMILIY FROM KOSOVO WERE ESCORTED BACK TO THE GATE FOR FURTHER ASSISTANCE. I HAVE RETOURNED TO THE COCKPIT NOTIFIED MY CREW ABOUT THE SITUATION AN GAVE A WELCOMIN SPEACH TROUGH THE PY NOTIFYING BOARDED PAX ABOUT INJURY OF A CHD AND THAT WE WILL BE FURTHER DELAYED. I GAVE ORDER TO THE FO TO CALL OPS AND ARRANGE ANEW FLIGHT PLAN. THEN I DISSEMBARKED AN APROACHED HA AND I WAS ESCORTED TO THE GATE TO OBSERVE RESCUE SERVICES OBOUT THEIR ACTION. I HAVE REQUESTED FROM HA TO SECURE THE IMAGE FROM THE SECURITY CAMERAS. WHEN I WAS SURE THAT RESCUE SERVICES HAD ALL UNDER CONTROL I HAVE RETOURNED TO THE COCKPIT AND MADE A PHONE CALL TO THE SAFETY OFFICER EXPLAINING OBOUT THE SITUATION. AFTER CONSULTING WITH THE REST OF THE CREW I DECIDED TO DENY BORDING TO THE FAMILY FROM KOSOVO AND REQUEST MEDICAL CHECK TO BE DONE AT THE HOSPITAL SINCE NONE OF THE RESUE SERVICE MEMBER WAS A DOCTOR. I HAVE DISEMBARKED AGAIN AND PROACHED HA TO EXPLAIN MY DECISION AFTER FEW SECOND THE SAME DECISION WAS DONE BA RESCUE SERVICES. WE OFFLOAD FAMILY BAGAGES AND DEPART FORM EKCH TO LJLJ. THE REST OF THE FLIGHT WAS UNEVENTFULL. AFTER LANDING AT LJU I HAVE REQUESTED MY CREW TO WRITE DOWN THEIR OBSERVATION OF THE INCIDENTSEPARATELY AND TO SEND THIS LETTER TO MYSELF AND TO SAFETY OFFICER. I HAVE THEN GIVEN  ORAL INTERPRETATION OF THE SITUATION TO THE SAFETY OFFICER.,1,20
1707507,ADR MOR-0007-2015,EGPWS Terrrain 1x,LAAA / L base 36 / JP704,"During visual approach /training purpose/ for RWY 36 in Tirana, EGPWS was triggered ""terrain terrain pull up"" 1x. Position: begining of a L base 36. 
Flaps 20(or 30)?;
gear down;
V/s 500-700ft/min
speed 170 kts
terrain - airport insight",0,4
2345341,SOR-0086-2019,Speed 250+ below 5000AAL,Europe and North Atlantic - Slovenia / DOL / JP4001,"Ferry flight from PRN. To avoid icing conditions, we increased ROD and for a few seconds speed was above 250kts at 5000ft QNH.",0,1
1712857,ADR MOR-0018-2015,MLG BAY OVHT MSG,GIMAX,"During descend MLG BAY OVHT warning message posted twice on EICAS. After first time dissappeared after few seconds, but came again. (BTMS fluctuated from 3-20) When we reseted BTMS OVHT message was disappeared.",1,50
2043333,SR-0043-2017,Fuel Spillage @ MUC,MUC/JP713,"Following report came from our ground handling partner @ MUC (Lufthansa):

Please be informed, that during the ramp handling of JP713/11AUG (S5 AAX) MUC-PRN a fuel spillage occurred due to a wrongly attached filler cap, which led to a leaking fuel valve.  The A/C was declared fit to fly by technicians, but it was necessary to have the parking position cleaned by the fire brigade. ",0,4
2118932,SOR-0049-2018,False LOC capture ,Europe and North Atlantic - Germany / EDDM / JP102,"During inerception of ILS 08R in MUC, there was a false capture of LOC. In second attempt to intercept the localiser there was an overshoot which was noticed by ATC.",0,4
2403744,SOR-0223-2019,"""Sink rate""",Europe and North Atlantic - Macedonia / LWSK / JP826,"""Sink rate"" was triggered about 50 ft. above runway 34
All flying parameters were normal and APPR was stabilized.
=> speed 139 + max 5 kt
=> rate was stabile at 800 ft/min

I can't determine for 100%, that reasone was pilot operational, ir it was false warning.

=> flare and landing was normal",0,2
2081496,SOR-0376-2017,Bird strike LJU,Europe and North Atlantic - Slovenia / LJU / JP311,"Bird strike occured during deceleration after thouchdown in LJU at approx. 80 kts. Bird species was identified as the common buzzard. The bird became lodged between the windscreen wipers. Apart from a minor scratch on the windscreen, no other visible damage was detected.",0,1
2055759,SOR-0299-2017,Laser beam ,Europe and North Atlantic - Slovenia / LOWW,"During arrival from west to VIE via points from ILS16 transition we were hit by blue strong laser beam for a time period of 3 to 8 seconds with intervals. We reported present position to the ATC controller which was at the moment Director Wien . 
Upon landing austrian police came to collect more info about the event. 
Beam was the strongest that I ever saw. ",0,1
2204643,SOR-0245-2018,Communication ,Europe and North Atlantic - Slovenia / ljlj / JP323,"On the flight back to LJLJ at FL330 we were transferred to Vienna Radar 133.6.
We’ve established initial contact and got identification as usual.
After 4 min we were called on 121.5 that Vienna is calling us and we are not responding. We were all the time listening that frequency.
With squelch on comm 1 we got contact again.
ATC told us they were calling 4-5 times but we did not hear anything.",0,1
2577766,SOR-0479-2019,L START ABORT,Europe and North Atlantic - Azores / LUX,"During start of the left engine ( right already running ), we got L START ABORT caution msg.  Start of the engine was aborted and QRH procedure was executed. the second attempt was succesfull and normal flight was executed thereafter.",0,2
1684232,CAA MOR-0130-2014,Cargo door opened by ground crew with engine running,LOVV / LOWW apron / JP284,"After parking on stand we shut down left engine. While we were waiting for electrical ground power, master caution sounded: CARGO DOOR. Apparently ground crew opened cargo compartment while right engine was still running and the beacon light was on.",1,50
2119466,SOR-0052-2018,High speed below 5000 ft,Europe and North Atlantic - Germany / 20nm before faf / JP124,"ATC instructed us to maintain hihg speed 300kts below FL100. We were cleared to 4000ft. Due to inexperience of FO, he started to reduce to 250kt too late, so that the company min 5000ft for high speed would be meet, so for about 10 seconds we were flying more than 250 kts below 5000ft.",0,4
2050816,SOR-0283-2017,Overspeed condition,Europe and North Atlantic - Slovenia / Tirana / JP704,"Durring approach at TIA at flaps 30 overspeed condition occured 2 kt.
ATL entry was made.",0,2
2047070,SOR-0266-2017,Traffic advisory,Europe and North Atlantic - Germany / Near KOGOL point / JP394,"Approximately at 15:35 on frequency 131,385 at FL 360 we received and acknowledged climb clearance to FL 380. Our aircraft was at FL 365 with ROC 500 fpm TA was received with Egyptair A330 opposite FL 370 which was approximately overhead us at approximate position KOGOL.",1,21
1724836,ADR MOR-0052-2015,Damage below cargo door,LOWW / Apron / JP285,"Damage / minor scratch was found on aricraft in LJU after landing below cargo door. There was evident that someone tried to clean the scratch before, probably in VIE. Photos on request.",1,50
1691988,CAA MOR-0146-2014,Smoking in toilet,nil,"During cruise, flight attendant reported strong smell of smoking in AFT toilet. No warning triggered. Toilet checked, all OK.",1,50
1694981,CAA MOR-0158-2014,Nose gear door damage,LJLJ / NR / JP125,During app. when we selected gear down strange noise came from nose gear (two loud bongs) Since all gear indication lights came on green app. and landing was continued. Normal landing and taxi out was followed and tow was requested after  pax disembarkation. NG door found severely damaged.,1,50
2577874,SOR-0482-2019,Gear warning at 1000ft,Europe and North Atlantic - Greece / Preveza,"During a visual approach after a very short flight, I was descending towards destination. In inital descend I commanded configuration F20 and gear down over VOR serving the destination. As FO owerheard the gear and I was visually manouvering, the gear went unnoticed until landing checklist, while flaps were interduced in a timely manner. As we noticed the gear with 163kts horn, I commanded gear down immediately and we were configured at 900ft AGL, still 3NM to go.
As other parameters were stabilized, everything was in order and after 900ft AGL aircraft fully stabilized in visual approach.
It was a high demand OPS and also high work load for low experienced FO and as I payed full atention in assuming right descent angle.
Missed approach would have been an option, but distance to land was accepted as sufficent in calm conditions.",0,1
2579709,SOR-0493-2019,Rwy incursion,Europe and North Atlantic - Germany / EDDT,"After landing on RWY08L when vacating via high speed taxiway RE to the right we taxied over stopbar for RWY08R. We were immediatelly notified by tower and we stopped slightly passed stopbar. There was traffic departing 08R at the same time. According to info from pilot and controller we didnt influenced their departure - was enough clearance.
Reason for incursion was high speed vacating and expecting another stopbar closer to the runway not only one in the middle of taxiway.",1,50
2601745,SOR-0579-2019,Metal piece found in galley trolley compartment,Europe and North Atlantic - Austria / Vienna / OS742,During the flight from KSC-VIE OS742 the cabin crew found a small piece of metal (approximately 8cm) on the galley floor. After the flight we found out that the piece belongs to the trolley compartment and prevents the trolleys from moving in the inside of the compartment. There are two pieces like the one we found and the other one is still in place so there shouldn’t be a too high risk of the trolley moving during operations. Nevertheless a damage report was made and the piece was taken and will be returned to dispatch in the blue folder.,0,2
2428364,SOR-0306-2019,bird strike on ground,Europe and North Atlantic - Slovenia / ljlj / JP891,"After landing about 100 m before G fast turn off we run over a bird which was feeding off a mouse on the right side of centre line.
No traces were found on aircraft. Bird was found dead and tower was notified.",0,4
1757564,ADR MOR-0141-2015,Break Overheat Warning,LOVV,"During climb at approximately FL270 Master Warning BREAK OVHT came on.
We initiated QRH check list. I assumed controls and comm. CM2 was doing the check list.
I requested level off at first available level. Level off was given at FL280.
Speed was reduced to 220KTS to enable gear extension.
When gear was extended BTMS indication was 00 on all four indicators. Indicator No. 4 was marked red indicating that that was the reason for the Warning.
Completing the check list required further reduction of speed so descent was requested. During descent we reduced to 200KTS and retracted gear.
QRH check list was completed and all BTMS indications 00 and green.
We reviewed the situation. We agreed that BTMS No.4 received false indication since it only showed red and value was 00 immediately. Another indication of false indication was the fact that BTMS indication displayed only when gear was lowered.
We decided to continue to destination.
Max reverse was used on landing as a precaution.
Normal indication of BTMS after landing.
Visual inspection of wheel and break assembly showed no signs of abnormal operation. 
Line Maintenance was contacted via telephone after the flight.
",0,1
